Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36024719,EMUSPR de Vilanova,Rúa O Esteiro,Vilanova de Arousa,Pontevedra,36620,-,EMUSPR,42.562808990478516,-8.820283889770508,Privada,Non,Non
36024720,EPAPU Nelson Mandela,Monte Racelo s/n,A Lama,Pontevedra,36830,986758034,EPAPU,42.40634536743164,-8.453298568725586,Pública,Non,Si
36024732,EMUSPR de Salcedo,Rúa Cruceiro s/n,Pontevedra,Pontevedra,36143,678232879,EMUSPR,42.40787887573242,-8.648590087890625,Privada,Non,Non
36024744,EMUSPR de Valadares,Estrada xeral  de Valadares 233,Vigo,Pontevedra,,,EMUSPR,42.17692184448242,-8.721342086791992,Privada,Non,Non
36024756,CEE de Panxón,"Camiño dos Lagos, 1 1",Nigrán,Pontevedra,36340,986383119,CEE,42.14645004272461,-8.822868347167969,Pública,Non,Si
36024771,CE.ART Tex-Moda,"Parque Tecnolóxico Loxístico. Valadares, Área Texvigo r/C, Ed.Dotacional Bajo",Vigo,Pontevedra,36314,986223620,CE.ART,42.17539978027344,-8.710068702697754,Privada,Non,Non
36024781,IES do Barral,Lugar Barral s/n,Ponteareas,Pontevedra,36860,986644406,IES,42.17501449584961,-8.491207122802734,Pública,Non,Si
36024793,CPR A CAMELIA,Rúa Bravo 36,Vigo,Pontevedra,36212,986241329,CPR,42.209877014160156,-8.766617774963379,Privada,Non,Non
36024801,ESMU Municipal de Meaño,Rúa Campo de Feria,Meaño,Pontevedra,36967,,ESMU,42.44391632080078,-8.782203674316406,Pública,Non,Non
36024811,CAD Cemar,"Estrada Ponteareas Mondariz, km 7",Mondariz-Balneario,Pontevedra,36890,,CAD,42.223941802978516,-8.478269577026367,Privada,Non,Non
36024823,CE.ART Marcote,Avenida da Ponte 80,Vigo,Pontevedra,36318,986266013,CE.ART,42.21504211425781,-8.669404029846191,Privada,Non,Non
36024835,CPREX O Castro International School,Camiño de San Cosme s/n,Mos,Pontevedra,36415,986200028,CPREX,42.16060256958008,-8.67026138305664,Privada,Non,Non
36024847,CAD Cenafe,"Rúa As Lagoas, Marcosende",Vigo,Pontevedra,36130,,CAD,42.169199,-8.68409,Privada,Non,Non
36024859,CAD CIP,Rúa Brasil 48,Vigo,Pontevedra,36204,,CAD,42.232385,-8.713049,Privada,Non,Non
36024872,CEMU Superior Mayeusis,Rúa Areal 118,Vigo,Pontevedra,36201,,CEMU,42.23881530761719,-8.711013793945312,Privada,Non,Non
36024884,CAD Montecastelo,Rúa Doctor Paz Pardo 84,Vigo,Pontevedra,36214,,CAD,42.21331024169922,-8.69360065460205,Privada,Non,Non
36024896,EMUSPR Agrupación Musical de Vincios,Rúa Mestra Doña Lola s/n,Gondomar,Pontevedra,36380,,EMUSPR,42.142398834228516,-8.731613159179688,Privada,Non,Non
36024902,CEMU Profesional Torroso,Estrada Puxeiros-Mos 183,Mos,Pontevedra,36417,,CEMU,42.203765869140625,-8.618718147277832,Privada,Non,Non
36024914,CAD ACADEF,Camiño Escola Andersen 28,Vigo,Pontevedra,36315,,CAD,42.161373138427734,-8.722890853881836,Privada,Non,Non
36024926,CPR Mega Formación,Rúa Santa Marta 5,Vigo,Pontevedra,36202,,CPR,42.23565673828125,-8.730303764343262,Privada,Non,Non
36024938,CRA de Caldas de Reis,Lugar Sequeiros s/n,Caldas de Reis,Pontevedra,36656,617487384,CRA,42.597354888916016,-8.689641952514648,Pública,Non,Si
36024941,EMUSPR de Chapela,Avenida de Redondela 17 Baixo,Redondela,Pontevedra,36320,986452244,EMUSPR,42.266727447509766,-8.666655540466309,Privada,Non,Non
36024951,Cen. Pub. Escola Galega do Deporte,Rúa Padre Fernando Olmedo,Pontevedra,Pontevedra,36002,986845700,Cen. Pub.,42.431983947753906,-8.638078689575195,Pública,Non,Non
36024963,CPREX Eleven School,Rúa Camiño Real (Parada) 10,Vigo,Pontevedra,36213,886606617,CPREX,42.20121765136719,-8.738016128540039,Privada,Non,Non
36024975,CAD Jesús Morlán Fariña,Rúa Gavián s/n,Pontevedra,Pontevedra,36151,986842106,CAD,42.496063232421875,-8.616524696350098,Privada,Non,Non
36024987,IES de Soutomaior,Estrada de Soutomaior 46 C,Soutomaior,Pontevedra,36690,886159801,IES,42.339927673339844,-8.594552040100098,Pública,Non,Si
36024999,EMUSPR de Vilaboa,Lugar Pazos 1,Vilaboa,Pontevedra,36142,,EMUSPR,42.324607849121094,-8.656364440917969,Privada,Non,Non
